,course_title,is_paid,price,num_subscribers,num_reviews,num_lectures,level,content_duration,subject
2728,Photoshop JumpStart,True,20,66,13,13,Beginner Level,2 hours,Graphic Design
3509,Ultimate Web Developer Course Build 10 Websites from Scratch,True,200,9359,110,402,Beginner Level,32.5 hours,Web Development
2804,Piano Runs & Fills #2: Play Rolling Cascading Runs for Intro,True,70,2164,10,30,All Levels,1 hour,Musical Instruments
2689,Parse Server: From Front End to Full Stack,True,200,1130,162,66,Intermediate Level,6 hours,Web Development
949,Creating Icons with Adobe Illustrator,True,30,2266,26,10,All Levels,1 hour,Graphic Design
3546,VueJS V1 Introduction to VueJS JavaScript Framework,True,200,3632,28,31,Beginner Level,2 hours,Web Development
1799,InDesign: Diseño de proyectos paso a paso,True,150,300,40,77,Intermediate Level,4.5 hours,Graphic Design
905,Create An HTML5 Video Player From Scratch,False,Free,32260,1005,12,Beginner Level,1.5 hours,Web Development
3513,Understand PHP Arrays and HTTP Request in a Better Way,True,35,1627,38,7,All Levels,35 mins,Web Development
1932,Introduction to QGIS Python Programming,True,85,197,26,28,Beginner Level,3.5 hours,Web Development
1338,Forex Trading,True,95,136,14,25,All Levels,4.5 hours,Business Finance
2001,JavaScript For Beginners : Learn JavaScript From Scratch,True,195,11285,102,77,All Levels,5.5 hours,Web Development
1304,FMT: Forex Market Trader Certificate,True,20,1,0,27,All Levels,2 hours,Business Finance
3146,Stock Market Leverage: How to Start Trading Options Wisely,True,95,2153,14,13,Beginner Level,1.5 hours,Business Finance
1745,HTML Web Development Crash Course,True,20,4848,33,17,Beginner Level,1.5 hours,Web Development
484,beginning accounting,True,20,0,0,12,Intermediate Level,38 mins,Business Finance
3109,Social Network Web Development,True,200,2698,29,57,All Levels,8 hours,Web Development
2488,Make Flat Design Space Ships in 30 Minutes in Illustrator!,True,50,1146,41,5,Beginner Level,33 mins,Graphic Design
1183,Essentials of Finance and Investment in 2 hours,True,20,1403,6,14,Beginner Level,2 hours,Business Finance
1569,How to Build a CMS with PHP,True,50,1096,33,10,Beginner Level,1 hour,Web Development
3195,System of Asset Management for Professionals (SAMP),True,50,8,1,8,Expert Level,1 hour,Business Finance
3287,The Complete HTML5 and CSS3 Course,True,40,1548,30,126,All Levels,15 hours,Web Development
621,Build Flat Responsive Website from Scratch - Complete Course,True,35,12105,144,54,All Levels,7.5 hours,Web Development
1234,Financial Accounting: The Complete Introductory Crash Course,True,100,2591,44,69,All Levels,10 hours,Business Finance
3210,Technical Analysis 101: How to Profit During Market Crashes,True,95,1730,18,53,All Levels,2 hours,Business Finance
559,Bootstrap 3 Introduction : Create RESPONSIVE Websites Fast,True,50,2351,302,16,All Levels,2.5 hours,Web Development
677,Buying Call and Put Options - Options beginner strategies,True,60,266,20,14,Intermediate Level,3 hours,Business Finance
1533,Hands-on Financial Modeling (With 6 Excel Templates),True,30,4601,38,14,Intermediate Level,4 hours,Business Finance
150,Adobe Experience Manager CMS Basics,True,35,81,14,33,Beginner Level,1 hour,Web Development
567,Bootstrap Bootcamp - Responsive web development- 8 projects,True,100,253,34,45,All Levels,7 hours,Web Development
1290,First Web Application with Spring Boot,True,40,2865,95,32,Beginner Level,4 hours,Web Development
3388,"Thoughtful Web Development Course: HTML, Vue.js, PHP, MySQL",True,200,842,144,536,All Levels,25 hours,Web Development
3335,The Everyday Investor: Building Wealth with Venture Capital,True,20,176,2,12,Intermediate Level,2.5 hours,Business Finance
2350,Learn to create Text fire effect in Adobe Photoshop,True,20,0,0,8,All Levels,36 mins,Graphic Design
1996,JavaScript For Absolute Beginners - Level One,True,65,713,80,8,All Levels,1.5 hours,Web Development
1359,Forex Trading Profitably,True,20,512,13,15,All Levels,40 mins,Business Finance
2127,Learn ASP.Net Web API 2 for Absolute Beginner,True,30,1355,14,29,All Levels,3.5 hours,Web Development
2565,Mastering Logo Design - 20 Projects step-by-step,True,200,2599,24,77,All Levels,7.5 hours,Graphic Design
3578,Webpack 2: The Complete Developer's Guide,True,75,8964,1893,56,All Levels,5.5 hours,Web Development
2996,"React.js: Building Production Ready Apps, Start to Finish",True,50,1129,137,77,All Levels,17.5 hours,Web Development
2784,PI-101 Top 10 Classical Piano Pieces for Beginners,False,Free,6292,183,38,Beginner Level,1 hour,Musical Instruments
1098,Drawing Anime & Manga Style,True,25,82,5,40,All Levels,8 hours,Graphic Design
59,A Beginner's Guide to Quantopian Futures API,True,20,936,6,11,Intermediate Level,1.5 hours,Business Finance
1972,Invierte en la Bolsa Mexicana y de USA,True,200,1673,547,40,Beginner Level,5.5 hours,Business Finance
1128,誰でもわかる Adobe Photoshop CS5,True,20,1,0,14,Beginner Level,3.5 hours,Graphic Design
1542,Hedge Fund Trading Systems For Stocks - Part One,True,200,52,8,21,All Levels,1.5 hours,Business Finance
903,Create an eCommerce Wordpress Website 2016 - New Divi Theme!,True,30,3503,123,41,Beginner Level,4 hours,Web Development
615,Build and Deploy a LAMP server on AWS,False,Free,3571,18,8,Beginner Level,1 hour,Web Development
2547,Master Trumpet Playing: Intermediate Instruction Made Simple,True,50,292,18,130,Intermediate Level,7 hours,Musical Instruments
52,8 Stunden professionelles Cinema 4D Training,True,50,18,1,38,All Levels,8.5 hours,Graphic Design
2309,Learn Ruby on Rails: Stripe Payment Processing,True,40,15724,33,29,All Levels,1.5 hours,Web Development
542,Blues Master - Professional Techniques Piano Course,True,75,4,0,16,All Levels,1 hour,Musical Instruments
2072,Kids Coding - Beginners CSS,True,100,7130,30,17,All Levels,1 hour,Web Development
3026,Risk Analysis - Capital Budgeting for CA / CS / CFA exams,True,20,2268,4,47,All Levels,5.5 hours,Business Finance
